"Date","Station","SampleID","Samplenum","Date_year","Month","Days","Fraction","Photonum","pH","Type","Arrival","Departure","Sky","StationDepth","Secchi","Temp","Turbidity","LogPhyco","LogChla","LogParMC","ParMC","DissMC","Phycocyanin","Chla","DOC","SRP","TP","TDP","POC","PON","PP","N.P","Nitrate","Ammonia","SortChem","H2O2","Intensive","Shore","NoaaStation","CDOM"
"5/27","nearshore2","E0004_100LTR","E0004","5/27/14","May",0,"100LTR","E140012",8.33,"no-amp","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_CNA","E0004","5/27/14","May",0,"CNA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_22NA","E0004","5/27/14","May",0,"22NA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_3NA","E0004","5/27/14","May",0,"3NA","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","nearshore2","E0004_53LTR","E0004","5/27/14","May",0,"53LTR","E140012",8.33,"sample","12:47","12:50","partly sunny",4.9,0.9,21.4,5.44,1.655351829,6.070389328,NA,0,NA,3.15,67.2,5.9065,0.93,58.6,12.1,2.55,0.5,46.53,10.74,1903.5,3.55,"E2014_0004",202.5155118,"n","nearshore","WE2",NA
"5/27","offshore","E0005_100LTR","E0005","5/27/14","May",0,"100LTR","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_22NA","E0005","5/27/14","May",0,"22NA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_3NA","E0005","5/27/14","May",0,"3NA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_53LTR","E0005","5/27/14","May",0,"53LTR","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"5/27","offshore","E0005_CNA","E0005","5/27/14","May",0,"CNA","E140013",8.09,"sample","12:14","12:17","partly sunny",8.1,2,19.4,1.3,-2.943416472,2.503348735,NA,0,NA,0.13,5.67,3.281,0.43,10.9,3.9,0.62,0.1,6.99,13.87,304.5,3.09,"E2014_0005",229.6486167,"n","offshore","WE4",NA
"6/10","offshore","E0008_53LTR","E0008","6/10/14","June",14,"53LTR","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_CNA","E0008","6/10/14","June",14,"CNA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_100LTR","E0008","6/10/14","June",14,"100LTR","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_22NA","E0008","6/10/14","June",14,"22NA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","offshore","E0008_3NA","E0008","6/10/14","June",14,"3NA","E140016/152",8.22,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offshore","WE4",NA
"6/10","nearshore2","E0009_22NA","E0009","6/10/14","June",14,"22NA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/10","nearshore2","E0009_3NA","E0009","6/10/14","June",14,"3NA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/10","nearshore2","E0009_CNA","E0009","6/10/14","June",14,"CNA","E140017",8.12,"sample","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nearshore","WE2",NA
"6/16","nearshore2","E0010_100LTR","E0010","6/16/14","June",20,"100LTR","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_22NA","E0010","6/16/14","June",20,"22NA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_3NA","E0010","6/16/14","June",20,"3NA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_53LTR","E0010","6/16/14","June",20,"53LTR","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore2","E0010_CNA","E0010","6/16/14","June",20,"CNA","E140018",8.08,"sample","10:35","10:57","sunny",5.1,0.9,22.4,10.1,-1.689659879,3.422233001,NA,0,NA,0.31,10.72,3.26025,4.16,36.1,12.3,0.68,0.15,23.84,6.15,482.5,3.51,"E2014_0010",217.121296,"n","nearshore","WE2",4.212387717
"6/16","nearshore1","E0012_100LTR","E0012","6/16/14","June",20,"100LTR","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
"6/16","nearshore1","E0012_22NA","E0012","6/16/14","June",20,"22NA","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
"6/16","nearshore1","E0012_3NA","E0012","6/16/14","June",20,"3NA","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
"6/16","nearshore1","E0012_53LTR","E0012","6/16/14","June",20,"53LTR","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
"6/16","nearshore1","E0012_CNA","E0012","6/16/14","June",20,"CNA","E140020",8.39,"sample","12:12","12:27","mostly cloudy",6.1,0.9,23.3,11.9,0.084064265,5.103077947,NA,0,NA,1.06,34.37,3.403,1.11,56.8,10.5,1.72,0.32,46.22,6.89,545,2.14,"E2014_0012",180.3269431,"n","nearshore","WE12",4.252437682
"6/16","offshore","E0014_100LTR","E0014","6/16/14","June",20,"100LTR","E140022",8.308,"sample","13:30","13:49","sunny",8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n","offshore","WE4",3.523809938
"6/16","offshore","E0014_22NA","E0014","6/16/14","June",20,"22NA","E140022",8.308,"sample","13:30","13:49","sunny",8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n","offshore","WE4",3.523809938
"6/16","offshore","E0014_3NA","E0014","6/16/14","June",20,"3NA","E140022",8.308,"sample","13:30","13:49","sunny",8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n","offshore","WE4",3.523809938
"6/16","offshore","E0014_53LTR","E0014","6/16/14","June",20,"53LTR","E140022",8.308,"sample","13:30","13:49","sunny",8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n","offshore","WE4",3.523809938
"6/16","offshore","E0014_CNA","E0014","6/16/14","June",20,"CNA","E140022",8.308,"sample","13:30","13:49","sunny",8.5,4,22.5,1.34,-1.184424571,3.615887074,NA,0,NA,0.44,12.26,3.24075,0.24,19.7,4.4,0.84,0.13,15.31,8.31,475,10.41,"E2014_0014",224.5437696,"n","offshore","WE4",3.523809938
"6/30","nearshore2","E0016_100LTR","E0016","6/30/14","June",34,"100LTR","E140024/153",8.647,"sample","10:12","10:38","mostly cloudy",4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n","nearshore","WE2",3.454659764
"6/30","nearshore2","E0016_22NA","E0016","6/30/14","June",34,"22NA","E140024/153",8.647,"sample","10:12","10:38","mostly cloudy",4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n","nearshore","WE2",3.454659764
"6/30","nearshore2","E0016_3NA","E0016","6/30/14","June",34,"3NA","E140024/153",8.647,"sample","10:12","10:38","mostly cloudy",4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n","nearshore","WE2",3.454659764
"6/30","nearshore2","E0016_53LTR","E0016","6/30/14","June",34,"53LTR","E140024/153",8.647,"sample","10:12","10:38","mostly cloudy",4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n","nearshore","WE2",3.454659764
"6/30","nearshore2","E0016_CNA","E0016","6/30/14","June",34,"CNA","E140024/153",8.647,"sample","10:12","10:38","mostly cloudy",4.9,1.3,24.7,4.81,0.757023247,4.317593505,NA,0,NA,1.69,19.94,3.84425,0.65,26.3,6.7,0.96,0.15,19.69,7.63,472,8.64,"E2014_0016",NA,"n","nearshore","WE2",3.454659764
"6/30","nearshore1","E0018_100LTR","E0018","6/30/14","June",34,"100LTR","E140026",8.435,"sample","11:38","11:54","mostly cloudy",6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n","nearshore","WE12",4.595779414
"6/30","nearshore1","E0018_22NA","E0018","6/30/14","June",34,"22NA","E140026",8.435,"sample","11:38","11:54","mostly cloudy",6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n","nearshore","WE12",4.595779414
"6/30","nearshore1","E0018_3NA","E0018","6/30/14","June",34,"3NA","E140026",8.435,"sample","11:38","11:54","mostly cloudy",6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n","nearshore","WE12",4.595779414
"6/30","nearshore1","E0018_53LTR","E0018","6/30/14","June",34,"53LTR","E140026",8.435,"sample","11:38","11:54","mostly cloudy",6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n","nearshore","WE12",4.595779414
"6/30","nearshore1","E0018_CNA","E0018","6/30/14","June",34,"CNA","E140026",8.435,"sample","11:38","11:54","mostly cloudy",6,1.4,24.5,4.01,-0.666576266,2.97819563,NA,0,NA,0.63,7.88,3.0216,0.17,19.4,4.6,0.59,0.12,14.83,7.92,444.5,16.18,"E2014_0018",NA,"n","nearshore","WE12",4.595779414
"6/30","offshore","E0020_100LTR","E0020","6/30/14","June",34,"100LTR","E140028",8.609,"sample","12:48","13:03","mostly sunny",8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n","offshore","WE4",6.792312303
"6/30","offshore","E0020_22NA","E0020","6/30/14","June",34,"22NA","E140028",8.609,"sample","12:48","13:03","mostly sunny",8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n","offshore","WE4",6.792312303
"6/30","offshore","E0020_3NA","E0020","6/30/14","June",34,"3NA","E140028",8.609,"sample","12:48","13:03","mostly sunny",8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n","offshore","WE4",6.792312303
"6/30","offshore","E0020_53LTR","E0020","6/30/14","June",34,"53LTR","E140028",8.609,"sample","12:48","13:03","mostly sunny",8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n","offshore","WE4",6.792312303
"6/30","offshore","E0020_CNA","E0020","6/30/14","June",34,"CNA","E140028",8.609,"sample","12:48","13:03","mostly sunny",8,2,24.8,1.79,0.669026766,3.69265037,NA,0,NA,1.59,12.93,3.38725,0.27,23.7,5.7,0.78,0.13,18.05,7.24,611.5,20.65,"E2014_0020",NA,"n","offshore","WE4",6.792312303
"7/8","nearshore2","E0022_100LTR","E0022","7/8/14","July",42,"100LTR","E140030",8.265,"sample","10:53","","coudy",5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n","nearshore","WE2",4.804654084
"7/8","nearshore2","E0022_22NA","E0022","7/8/14","July",42,"22NA","E140030",8.265,"sample","10:53","","coudy",5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n","nearshore","WE2",4.804654084
"7/8","nearshore2","E0022_3NA","E0022","7/8/14","July",42,"3NA","E140030",8.265,"sample","10:53","","coudy",5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n","nearshore","WE2",4.804654084
"7/8","nearshore2","E0022_53LTR","E0022","7/8/14","July",42,"53LTR","E140030",8.265,"sample","10:53","","coudy",5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n","nearshore","WE2",4.804654084
"7/8","nearshore2","E0022_CNA","E0022","7/8/14","July",42,"CNA","E140030",8.265,"sample","10:53","","coudy",5,1.4,23.8,3.55,0.23878686,2.776103988,-1.785875195,0.29,NA,1.18,6.85,4.0772,2.49,22.7,7.9,0.96,0.06,14.75,4.09,597.5,16.29,"E2014_0022",163.6026951,"n","nearshore","WE2",4.804654084
"7/8","nearshore1","E0024_100LTR","E0024","7/8/14","July",42,"100LTR","E140032",8.334,"sample","12:09","12:25","rainy",5.7,1,23.5,9.47,-3.058893689,2.803227036,NA,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,"E2014_0024",154.9502201,"n","nearshore","WE12",3.662872236
"7/8","nearshore1","E0024_22NA","E0024","7/8/14","July",42,"22NA","E140032",8.334,"sample","12:09","12:25","rainy",5.7,1,23.5,9.47,-3.058893689,2.803227036,NA,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,"E2014_0024",154.9502201,"n","nearshore","WE12",3.662872236
"7/8","nearshore1","E0024_53LTR","E0024","7/8/14","July",42,"53LTR","E140032",8.334,"sample","12:09","12:25","rainy",5.7,1,23.5,9.47,-3.058893689,2.803227036,NA,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,"E2014_0024",154.9502201,"n","nearshore","WE12",3.662872236
"7/8","nearshore1","E0024_CNA","E0024","7/8/14","July",42,"CNA","E140032",8.334,"sample","12:09","12:25","rainy",5.7,1,23.5,9.47,-3.058893689,2.803227036,NA,0,NA,0.12,6.98,3.05175,0.2,34,5.1,0.66,0.1,28.97,3.62,343.5,16.16,"E2014_0024",154.9502201,"n","nearshore","WE12",3.662872236
"7/8","offshore","E0026_100LTR","E0026","7/8/14","July",42,"100LTR","E140034",8.45,"sample","13:22","13:47","sunny",7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n","offshore","WE4",2.961181333
"7/8","offshore","E0026_22NA","E0026","7/8/14","July",42,"22NA","E140034",8.45,"sample","13:22","13:47","sunny",7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n","offshore","WE4",2.961181333
"7/8","offshore","E0026_3NA","E0026","7/8/14","July",42,"3NA","E140034",8.45,"sample","13:22","13:47","sunny",7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n","offshore","WE4",2.961181333
"7/8","offshore","E0026_53LTR","E0026","7/8/14","July",42,"53LTR","E140034",8.45,"sample","13:22","13:47","sunny",7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n","offshore","WE4",2.961181333
"7/8","offshore","E0026_CNA","E0026","7/8/14","July",42,"CNA","E140034",8.45,"sample","13:22","13:47","sunny",7,2,23.7,1.16,-0.736965594,1.827819025,NA,0,NA,0.6,3.55,3.00175,1.02,14.4,3.5,0.38,0.05,10.93,4.58,458,17.8,"E2014_0026",173.9337628,"n","offshore","WE4",2.961181333
"7/14","nearshore2","E0028_100LTR","E0028","7/14/14","July",48,"100LTR","E140036",8.382,"sample","10:00","10:24","partly sunny",5.1,1.8,24.4,3.61,4.102658131,3.382667253,0.028569152,1.02,NA,17.18,10.43,3.89275,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03,"E2014_0028",683.259721,"n","nearshore","WE2",8.572711727
"7/14","nearshore2","E0028_22NA","E0028","7/14/14","July",48,"22NA","E140036",8.382,"sample","10:00","10:24","partly sunny",5.1,1.8,24.4,3.61,4.102658131,3.382667253,0.028569152,1.02,NA,17.18,10.43,3.89275,0.57,26.2,6.9,0.87,0.15,19.21,7.95,1090,11.03,"E2014_0028",683.259721,"n","nearshore","WE2",8.572711727
